X,Y,Z
79.24,0.0,-2.46
38.18,0.0,-63.72
-30.77,0.0,-62.07
-65.87,0.0,-7.32
-37.97,0.0,46.82
19.19,0.0,58.19
55.47,0.0,14.29
42.0,0.0,-38.95
-10.44,0.0,-58.35
-54.74,0.0,-22.74
-52.82,0.0,36.62
2.31,0.0,65.24
59.58,0.0,35.34
61.93,0.0,-31.04
7.98,0.0,-74.85
-56.34,0.0,-45.28
-74.23,0.0,24.85
-18.46,0.0,72.98
54.17,0.0,57.89
81.91,0.0,-15.03
30.85,0.0,-75.19
-51.19,0.0,-73.14
-88.21,0.0,3.52
-40.14,0.0,68.36
39.9,0.0,78.74
75.88,0.0,7.75
60.6,0.0,-76.09
-26.78,0.0,-78.85
-92.47,0.0,-22.96
-78.73,0.0,74.33
18.53,0.0,98.55
91.09,0.0,36.9
78.63,0.0,-55.55
-3.73,0.0,-84.2
-91.88,0.0,-53.41
-82.13,0.0,42.08
-9.65,0.0,98.81
74.79,0.0,59.03
75.9,0.0,-26.16
22.79,0.0,-93.54
-66.4,0.0,-69.71
-74.9,0.0,14.43
-43.93,0.0,109.82
55.9,0.0,78.39
68.2,0.0,-3.32
45.52,0.0,-79.12
-37.38,0.0,-72.17
-80.93,0.0,-7.54
-58.7,0.0,75.05
28.8,0.0,82.39
64.46,0.0,15.4
57.16,0.0,-54.93
-12.44,0.0,-63.06
-62.58,0.0,-24.71
-61.91,0.0,44.56
4.31,0.0,81.16
68.89,0.0,39.23
69.35,0.0,-36.31
7.54,0.0,-84.94
-57.92,0.0,-44.89
-82.26,0.0,29.17
-15.57,0.0,66.48
64.23,0.0,66.25
92.42,0.0,-18.65
24.07,0.0,-61.75
-47.19,0.0,-64.95
-69.16,0.0,3.98
-37.45,0.0,66.45
28.66,0.0,54.16
76.01,0.0,6.4
52.55,0.0,-68.43
-30.88,0.0,-85.89
-68.5,0.0,-15.72
-46.67,0.0,45.65
14.41,0.0,69.81
69.33,0.0,26.67
59.09,0.0,-43.33
-5.03,0.0,-81.12
-80.59,0.0,-44.95
-72.55,0.0,38.81
-6.55,0.0,82.02
66.27,0.0,50.43
75.42,0.0,-27.49
18.27,0.0,-81.25
-57.79,0.0,-58.56
-90.29,0.0,19.05
-30.98,0.0,81.6
50.14,0.0,67.74
79.1,0.0,-5.26
33.48,0.0,-60.65
-38.65,0.0,-71.5
-63.1,0.0,-4.75
-35.69,0.0,47.33
24.36,0.0,65.92
68.63,0.0,15.12
51.93,0.0,-51.7
-17.56,0.0,-81.41
-63.0,0.0,-23.6
-69.92,0.0,52.23
4.97,0.0,70.1
67.82,0.0,37.05
65.18,0.0,-35.61
5.75,0.0,-81.07
-53.9,0.0,-40.26
-66.75,0.0,25.0
-17.76,0.0,82.38
66.1,0.0,65.81
78.4,0.0,-17.27
28.87,0.0,-78.12
-47.73,0.0,-63.3
-73.07,0.0,5.51
-30.57,0.0,56.55
43.63,0.0,79.03
77.11,0.0,5.12
45.97,0.0,-62.12
-26.01,0.0,-68.51
-82.46,0.0,-17.4
-54.28,0.0,55.01
16.08,0.0,71.49
68.85,0.0,25.1
63.09,0.0,-48.01
-5.51,0.0,-69.06
-77.84,0.0,-41.63
-71.85,0.0,40.08
-4.23,0.0,68.15
60.71,0.0,44.52
72.12,0.0,-27.75
13.6,0.0,-65.89
-58.11,0.0,-56.83
-70.45,0.0,16.17
-27.16,0.0,75.54
46.46,0.0,60.5
90.96,0.0,-7.67
37.08,0.0,-70.07
-37.95,0.0,-67.32
-71.16,0.0,-4.1
-51.89,0.0,71.42
30.25,0.0,77.59
71.83,0.0,14.49
55.88,0.0,-57.64
-13.29,0.0,-56.74
-70.01,0.0,-24.82
-60.29,0.0,46.73
7.1,0.0,79.96
63.15,0.0,33.06
67.15,0.0,-38.24
3.73,0.0,-70.18
-56.23,0.0,-40.47
-56.06,0.0,22.14
-13.4,0.0,67.97
62.21,0.0,59.78
69.33,0.0,-16.56
28.8,0.0,-82.39
-39.6,0.0,-50.63
-79.93,0.0,7.45
-30.94,0.0,59.74
44.03,0.0,76.52
76.19,0.0,3.71
43.12,0.0,-60.48
43.71,0.0,-61.29
24.56,38.24,-63.73
-17.46,38.16,-58.85
-45.57,6.5,-64.55
-36.54,-42.3,-78.39
13.72,-46.36,-67.8
39.18,-11.4,-57.22
31.2,27.19,-58.03
-6.7,45.54,-64.55
-38.76,17.53,-59.66
-41.54,-26.94,-69.43
0.24,-54.74,-76.76
41.29,-26.25,-68.62
46.51,21.53,-71.88
6.29,45.6,-64.55
-36.29,31.06,-66.99
-42.41,-12.75,-62.11
-16.82,-58.76,-85.72
41.13,-46.77,-87.35
56.41,8.55,-80.02
22.34,49.97,-76.76
-29.98,45.8,-76.76
-62.86,-0.56,-88.16
-59.96,-0.53,-84.09
-96.16,-0.85,4.68
-53.5,-0.47,92.98
49.33,0.44,95.26
98.85,0.87,9.21
63.62,0.56,-81.35
-32.43,-0.29,-92.77
-100.45,-0.89,-24.0
-77.35,-0.68,74.33
19.78,0.18,100.35
87.68,0.78,34.63
70.02,0.62,-50.4
-4.79,-0.04,-90.15
-84.53,-0.75,-48.14
-90.61,-0.8,47.44
-8.33,-0.07,93.91
83.21,0.74,64.49
93.57,0.83,-33.17
21.96,0.19,-93.74
-71.19,-0.63,-73.43
-101.23,-0.9,20.43
-36.78,-0.33,94.36
62.46,0.55,85.98
102.1,0.9,-5.88
44.82,0.4,-79.52
-41.76,-0.37,-78.91
-114.87,-1.02,-9.68
-68.38,-0.61,89.05
33.58,0.3,93.42
108.45,0.96,24.9
66.68,0.59,-65.22
-19.46,-0.17,-94.29
-84.25,-0.75,-32.42
-76.02,-0.67,55.75
5.59,0.05,90.1
78.84,0.7,43.98
91.95,0.81,-49.18
7.26,0.06,-90.99
-80.59,-0.71,-61.33
-85.76,-0.76,31.26
-22.44,-0.2,99.78
71.13,0.63,72.09
98.11,0.87,-20.7
36.66,0.32,-96.55
-61.44,-0.54,-83.01
-91.07,-0.81,6.05
-50.4,-0.45,91.29
51.01,0.45,94.37
110.96,0.98,8.36
62.78,0.56,-83.26
-33.37,-0.3,-90.31
-89.14,-0.79,-19.64
-63.27,-0.56,62.99
21.56,0.19,99.98
78.92,0.7,29.56
79.53,0.7,-59.41
-8.22,-0.07,-115.99
-96.77,-0.86,-52.87
-84.49,-0.75,46.16
-6.67,-0.06,94.04
81.94,0.73,61.21
95.78,0.85,-35.88
19.03,0.17,-88.25
-63.97,-0.57,-63.7
-100.86,-0.89,22.22
-37.53,-0.33,101.56
59.16,0.52,78.47
98.99,0.88,-7.46
46.26,0.41,-85.57
-51.36,-0.45,-93.04
-82.09,-0.73,-5.46
-62.63,-0.55,84.62
34.88,0.31,91.88
96.16,0.85,20.29
76.05,0.67,-77.07
-21.78,-0.19,-96.86
-106.42,-0.94,-38.8
-81.39,-0.72,61.93
8.14,0.07,101.95
90.18,0.8,48.24
81.46,0.72,-45.44
6.64,0.06,-107.07
-85.7,-0.76,-62.85
-87.05,-0.77,33.49
-20.67,-0.18,100.17
71.68,0.63,70.12
95.78,0.85,-21.99
35.62,0.32,-99.07
-58.64,-0.52,-76.36
-92.95,-0.82,7.83
-45.97,-0.41,86.86
49.24,0.44,87.36
87.13,0.77,5.02
54.83,0.49,-75.46
-37.14,-0.33,-95.29
-108.09,-0.96,-21.81
-71.19,-0.63,73.43
19.22,0.17,82.06
86.03,0.76,30.5
77.68,0.69,-60.2
-8.24,-0.07,-92.91
-91.49,-0.81,-47.9
-88.87,-0.79,50.61
-5.69,-0.05,107.13
85.44,0.76,61.5
92.34,0.82,-36.46
21.72,0.19,-110.16
-75.91,-0.67,-72.95
-98.5,-0.87,23.53
-34.08,-0.3,97.49
61.16,0.54,78.2
96.85,0.86,-9.03
52.09,0.46,-100.59
-52.5,-0.46,-91.25
-91.17,-0.81,-4.44
-57.64,-0.51,80.83
32.79,0.29,81.96
104.36,0.92,20.1
69.16,0.61,-72.61
-25.15,-0.22,-103.26
-91.97,-0.81,-31.69
-88.92,-0.79,70.18
11.01,0.1,112.74
105.26,0.93,53.93
95.34,0.84,-55.42
5.1,0.05,-115.17
-84.35,-0.75,-59.59
-104.06,-0.92,42.16
-19.64,-0.17,104.45
78.0,0.69,73.64
99.26,0.88,-24.64
33.54,0.3,-98.74
-62.47,-0.55,-78.44
-97.77,-0.87,9.98
-46.23,-0.41,91.23
48.75,0.43,83.02
93.2,0.82,3.71
51.76,0.46,-73.96
-35.03,-0.31,-85.37
-83.88,-0.74,-15.39
-61.0,-0.54,65.19
21.16,0.19,83.64
81.81,0.72,27.39
66.47,0.59,-53.42
-9.46,-0.08,-88.78
-70.87,-0.63,-35.52
-66.46,-0.59,39.43
-2.63,-0.02,74.23
56.93,0.5,39.47
61.2,0.54,-25.43
12.2,0.11,-68.2
-47.13,-0.42,-43.71
-60.31,-0.53,15.54
-19.51,-0.17,59.14
41.75,0.37,51.48
65.87,0.58,-7.32
31.21,0.28,-62.97
-38.69,-0.34,-64.57
-74.24,-0.66,-2.3
-45.44,-0.4,66.18
28.41,0.25,67.54
85.98,0.76,14.99
59.74,0.53,-64.99
-23.68,-0.21,-90.22
-93.46,-0.83,-30.37
-75.28,-0.67,61.61
11.97,0.11,103.59
93.63,0.83,45.9
89.21,0.79,-53.99
2.85,0.03,-107.24
-87.87,-0.78,-59.78
-96.85,-0.86,41.25
-16.28,-0.14,95.91
72.64,0.64,66.19
100.74,0.89,-26.91
30.56,0.27,-95.51
-64.49,-0.57,-78.09
-99.56,-0.88,11.95
-44.17,-0.39,91.14
51.78,0.46,84.71
98.25,0.87,2.17
53.8,0.48,-79.84
-36.53,-0.32,-84.74
-91.04,-0.81,-15.04
-61.84,-0.55,68.48
24.74,0.22,90.98
88.96,0.79,28.04
70.12,0.62,-58.43
-10.78,-0.1,-86.61
-78.7,-0.7,-37.72
-74.26,-0.66,45.85
-72.56,-0.64,44.8
-38.66,-61.4,44.8
31.86,-68.02,46.37
71.92,-9.6,44.8
45.84,54.04,43.75
-20.95,68.58,44.27
-69.85,19.66,44.8
-54.28,-48.16,44.8
11.32,-72.54,45.32
65.6,-28.97,44.27
59.11,39.07,43.75
-0.94,70.86,43.75
-59.41,37.04,43.22
-64.04,-30.34,43.75
-8.96,-69.44,43.22
53.59,-45.05,43.22
67.68,21.0,43.75
18.44,66.66,42.7
-46.13,51.53,42.7
-69.12,-11.11,43.22
-27.66,-63.39,42.7
38.39,-57.53,42.7
69.15,1.22,42.7
35.44,57.4,41.65
36.33,58.85,42.7
37.08,60.07,-33.83
5.08,8.23,-77.68
-32.4,-52.48,-51.39
-40.72,-65.96,24.43
-11.48,-18.59,80.36
30.03,48.63,63.29
44.2,71.59,-13.9
17.74,28.73,-78.31
-25.62,-41.5,-72.38
-45.31,-73.4,1.91
-23.91,-38.73,74.47
20.0,32.39,78.54
48.13,77.96,11.0
30.53,49.45,-70.38
-14.46,-23.41,-85.98
-47.85,-77.5,-24.33
-37.0,-59.93,64.17
8.29,13.43,92.95
45.57,73.81,36.94
40.95,66.33,-53.03
-1.31,-2.13,-94.24
-41.92,-67.9,-48.3
-44.94,-72.8,41.94
-5.93,-9.6,97.63
38.33,62.08,59.71
46.1,74.68,-28.52
12.44,20.15,-90.22
-33.16,-53.72,-68.67
-46.72,-75.68,15.5
-18.59,-30.12,84.14
25.96,42.04,71.95
41.63,67.43,-2.46
22.22,35.98,-70.58
-18.26,-29.58,-70.13
-37.22,-60.28,-7.87
-23.59,-38.2,55.36
11.07,17.93,63.89
33.21,53.79,16.29
23.22,37.61,-40.99
-5.76,-9.33,-61.31
-31.18,-50.51,-24.66
-28.18,-45.65,37.19
1.29,2.09,69.23
33.56,54.36,37.89
33.47,54.22,-31.94
4.19,6.79,-74.85
-31.23,-50.59,-47.78
-38.99,-63.16,24.85
-10.09,-16.34,75.89
30.97,50.16,63.0
40.96,66.35,-14.3
18.0,29.16,-83.52
-25.99,-42.09,-70.69
-41.61,-67.4,3.16
-23.48,-38.04,76.12
21.44,34.72,80.53
46.66,75.57,9.07
31.84,51.57,-76.09
-16.1,-26.07,-90.22
-49.09,-79.51,-23.2
-36.39,-58.95,65.41
9.83,15.92,99.53
47.36,76.72,36.53
46.89,75.94,-63.05
-2.28,-3.7,-98.18
-47.81,-77.45,-52.91
-49.69,-80.48,48.46
-5.37,-8.71,104.78
42.18,68.32,63.36
53.78,87.11,-35.28
13.46,21.8,-105.2
-38.14,-61.78,-76.23
-54.31,-87.96,19.91
-20.54,-33.27,97.75
32.11,52.01,85.72
52.62,85.23,-4.88
27.06,43.83,-89.52
-25.43,-41.2,-93.48
-50.36,-81.57,-8.93
-30.83,-49.94,75.05
18.25,29.56,99.38
51.24,82.99,23.3
37.98,61.52,-69.48
-10.7,-17.33,-103.29
-51.44,-83.32,-38.67
-42.75,-69.25,58.58
2.85,4.62,102.13
47.6,77.1,51.6
49.0,79.36,-48.83
4.61,7.47,-98.89
-41.64,-67.45,-61.43
-49.15,-79.62,33.18
-12.37,-20.04,100.56
37.03,59.99,72.71
53.18,86.14,-20.43
19.51,31.61,-95.29
-31.58,-51.16,-82.74
-53.64,-86.88,5.88
-24.83,-40.23,83.87
23.9,38.72,85.98
54.06,87.57,8.67
31.44,50.93,-77.95
-18.53,-30.02,-98.13
-50.83,-82.33,-22.21
-39.54,-64.04,73.62
10.44,16.9,96.25
47.69,77.25,34.93
42.06,68.12,-58.71
-3.13,-5.07,-96.09
-46.46,-75.26,-49.34
-45.06,-72.99,45.88
-4.15,-6.72,98.96
41.92,67.91,60.72
47.52,76.97,-32.97
11.33,18.35,-95.88
-36.63,-59.34,-70.66
-51.54,-83.49,20.71
-19.81,-32.1,99.36
31.97,51.78,82.21
51.51,83.44,-6.52
25.21,40.83,-86.91
-25.3,-40.98,-89.09
-49.39,-79.99,-7.08
-31.71,-51.37,80.07
17.35,28.1,89.37
50.42,81.67,21.14
37.7,61.07,-71.46
-10.77,-17.45,-95.09
-51.3,-83.09,-36.58
-40.1,-64.95,57.02
3.43,5.56,92.05
43.92,71.15,45.68
45.77,74.13,-47.6
3.8,6.15,-102.02
-43.47,-70.4,-61.81
-49.33,-79.9,35.18
-10.33,-16.73,91.18
38.82,62.88,73.57
52.98,85.82,-22.22
17.71,28.69,-91.25
-30.76,-49.83,-77.67
-54.62,-88.48,7.84
-25.3,-40.98,89.09
25.46,41.24,87.79
51.51,83.44,6.52
32.28,52.28,-83.01
-19.26,-31.19,-96.55
-51.03,-82.66,-20.5
-35.89,-58.14,69.24
12.02,19.47,101.74
49.49,80.17,34.34
41.92,67.9,-60.72
-3.9,-6.32,-92.98
-46.91,-75.99,-47.77
-46.92,-76.0,49.83
-3.26,-5.28,100.09
42.9,69.5,59.89
49.17,79.64,-36.01
10.54,17.07,-97.23
-39.16,-63.43,-72.91
-53.9,-87.31,23.56
-18.35,-29.73,97.19
31.12,50.42,77.15
54.59,88.42,-8.76
25.13,40.7,-90.4
-24.58,-39.81,-83.0
-52.07,-84.34,-5.71
-33.12,-53.65,86.79
19.51,31.61,95.29
52.15,84.48,20.03
38.13,61.76,-74.87
-12.37,-20.04,-100.56
-47.67,-77.21,-32.17
-42.05,-68.12,62.04
4.52,7.32,96.9
48.07,77.86,47.9
44.86,72.67,-48.64
2.82,4.57,-101.14
-39.77,-64.42,-54.49
-48.51,-78.57,36.47
-10.19,-16.51,98.38
37.23,60.3,68.09
50.21,81.34,-22.84
17.04,27.59,-92.77
-31.81,-51.52,-77.41
-55.07,-89.19,9.77
-25.67,-41.59,94.37
24.96,40.43,82.58
52.09,84.38,4.83
30.28,49.05,-80.83
29.97,48.55,-80.02
-25.16,52.5,-81.65
-58.35,7.27,-82.46
-35.41,-42.5,-77.58
16.98,-53.87,-79.2
56.18,-15.28,-81.65
45.36,40.97,-85.72
-9.3,56.3,-80.02
-52.93,22.82,-80.83
-46.84,-31.56,-79.2
1.24,-55.88,-78.39
46.21,-28.25,-75.95
49.78,24.13,-77.58
6.45,53.77,-75.95
-41.76,34.48,-75.95
-49.37,-15.8,-72.69
-13.08,-48.96,-71.06
35.69,-39.17,-74.32
52.82,8.97,-75.13
20.99,49.29,-75.13
-29.15,42.86,-72.69
-48.91,-1.3,-68.62
-27.74,-45.83,-75.13
-27.14,-44.84,-73.5
-44.62,-73.73,4.2
-22.54,-37.24,75.65
21.02,34.73,78.39
46.03,76.05,8.29
28.48,47.05,-70.32
-14.74,-24.36,-81.45
-44.96,-74.29,-20.75
-31.84,-52.61,59.09
8.74,14.44,85.63
42.99,71.04,32.79
37.1,61.3,-51.57
-2.4,-3.96,-87.16
-37.92,-62.65,-41.71
-40.95,-67.67,41.41
-3.72,-6.15,80.96
36.13,59.69,54.08
43.57,71.99,-29.83
9.72,16.05,-80.11
-31.45,-51.97,-62.66
-47.34,-78.22,18.45
-16.98,-28.05,84.11
26.26,43.38,69.8
42.53,70.27,-4.73
21.68,35.83,-74.29
-21.62,-35.72,-78.91
-45.55,-75.26,-7.41
-27.21,-44.96,68.43
16.34,27.0,87.78
43.54,71.94,19.31
31.2,51.55,-58.93
-8.82,-14.57,-82.54
-41.21,-68.09,-30.62
-35.19,-58.14,49.84
2.73,4.52,85.11
39.92,65.95,43.01
39.39,65.09,-40.69
3.55,5.87,-86.0
-35.14,-58.06,-51.64
-42.46,-70.15,29.89
-10.26,-16.95,88.08
31.38,51.84,61.41
46.75,77.24,-19.05
15.67,25.9,-79.73
-26.27,-43.4,-68.55
-46.64,-77.06,5.99
-21.34,-35.26,74.66
20.75,34.29,74.14
44.03,72.75,6.41
27.21,44.95,-69.69
-15.3,-25.29,-79.99
-43.12,-71.25,-18.35
-32.39,-53.52,62.28
9.74,16.1,87.27
43.77,72.33,31.67
37.45,61.88,-54.03
-3.27,-5.4,-89.05
-41.48,-68.53,-43.76
-39.66,-65.53,41.84
-3.42,-5.65,93.04
36.62,60.5,52.83
43.77,72.33,-31.67
9.85,16.28,-88.25
-32.02,-52.91,-61.58
-48.18,-79.6,20.49
-16.74,-27.66,87.49
28.45,47.01,72.89
43.51,71.9,-6.33
22.47,37.14,-80.3
-22.09,-36.5,-77.28
-46.64,-77.06,-5.99
-26.27,-43.4,68.54
16.59,27.41,84.4
42.7,70.55,17.4
31.74,52.45,-62.12
-9.69,-16.01,-83.2
-44.4,-73.37,-31.26
-35.55,-58.74,52.24
3.59,5.94,87.0
40.3,66.6,41.64
39.46,65.21,-42.52
2.8,4.62,-87.11
-37.28,-61.59,-52.8
-42.18,-69.69,31.34
-9.14,-15.09,85.48
31.56,52.16,59.63
44.04,72.78,-19.53
14.76,24.39,-79.31
-27.21,-44.96,-68.43
-43.48,-71.85,7.08
-21.38,-35.33,78.03
21.17,34.98,72.55
45.12,74.54,5.02
26.87,44.39,-71.42
-16.04,-26.5,-79.46
-44.3,-73.19,-17.26
-31.46,-51.97,62.66
10.31,17.03,84.98
41.13,67.96,28.16
36.13,59.7,-54.07
-4.18,-6.9,-90.92
-40.95,-67.67,-41.41
-38.37,-63.4,42.2
-2.4,-3.96,87.15
37.1,61.3,51.57
41.07,67.86,-31.32
8.64,14.28,-84.65
-32.96,-54.46,-61.17
-43.45,-71.79,20.05
-14.91,-24.64,82.39
25.61,42.31,63.24
45.0,74.35,-8.1
20.31,33.55,-75.72
-23.05,-38.09,-77.38
-45.65,-75.43,-4.3
-25.94,-42.86,70.25
16.59,27.41,80.11
45.9,75.84,17.07
29.74,49.14,-60.3
-10.45,-17.27,-82.86
-44.19,-73.02,-29.41
-40.76,-67.34,62.12
4.89,8.09,96.82
42.06,69.5,41.62
39.07,64.55,-43.86
2.02,3.34,-88.19
-36.91,-60.98,-50.36
-39.96,-66.03,31.27
-7.58,-12.53,77.91
30.98,51.18,56.48
40.84,67.49,-19.58
12.87,21.26,-73.17
-26.22,-43.32,-63.58
-40.84,-67.47,8.05
-18.32,-30.27,69.82
19.74,32.61,64.91
41.53,68.62,3.2
24.72,40.85,-68.23
-14.99,-24.77,-70.57
-39.36,-65.03,-13.94
-27.34,-45.17,56.43
10.83,17.89,82.67
38.92,64.32,25.17
30.38,50.2,-47.16
-4.02,-6.64,-72.87
-34.85,-57.58,-33.73
-31.74,-52.45,36.36
-1.31,-2.16,71.23
31.18,51.52,41.75
32.65,53.94,-26.2
5.86,9.68,-63.27
-25.16,-41.57,-45.07
-33.23,-54.91,16.54
-10.59,-17.49,61.99
21.29,35.18,50.7
35.65,58.91,-7.65
15.93,26.32,-62.07
-19.77,-32.66,-63.72
-39.99,-66.08,-2.39
-25.0,-41.3,70.3
17.32,28.62,79.53
46.05,76.09,15.5
33.04,54.59,-69.41
-12.52,-20.69,-92.16
-46.92,-77.52,-29.44
-38.18,-63.08,60.34
5.48,9.06,91.67
45.69,75.5,43.26
40.88,67.54,-47.78
1.32,2.19,-96.24
-40.36,-66.69,-53.03
-43.0,-71.06,35.38
-8.17,-13.5,92.95
34.55,57.09,60.8
44.16,72.96,-22.78
14.09,23.28,-85.03
-28.77,-47.54,-67.3
-44.35,-73.29,10.28
-19.48,-32.19,77.64
23.03,38.05,72.76
44.14,72.94,1.89
23.81,39.33,-68.23
-16.25,-26.85,-72.8
-41.52,-68.61,-13.25
-27.86,-46.03,59.58
11.04,18.24,78.43
39.64,65.5,24.13
31.93,52.76,-51.39
-5.2,-8.59,-80.66
-37.02,-61.16,-34.26
-34.05,-56.26,40.6
-34.05,-56.26,40.6
28.57,-58.28,40.07
66.17,-7.65,41.12
41.64,50.89,40.6
-20.58,63.35,41.12
-66.89,17.55,42.7
-49.04,-45.08,41.12
11.29,-64.78,40.6
63.75,-26.82,42.7
55.61,38.19,41.65
-2.06,66.58,41.12
-57.14,34.23,41.12
-61.2,-30.34,42.17
-7.35,-66.2,41.12
52.39,-42.49,41.65
68.1,22.46,44.27
17.47,67.8,43.22
-46.45,50.08,42.17
-69.75,-12.48,43.75
-28.5,-68.58,45.85
41.34,-59.63,44.8
72.52,2.57,44.8
37.45,63.14,45.32
-32.51,64.87,44.8
-32.51,64.87,44.8
-35.67,71.17,-38.15
-4.72,9.42,-84.62
30.04,-59.94,-55.87
38.58,-76.98,27.14
10.73,-21.41,88.08
-27.41,54.69,67.74
-41.68,83.16,-15.37
-16.73,33.37,-86.57
24.11,-48.1,-79.84
43.58,-86.94,2.15
23.2,-46.29,84.71
-19.99,39.88,92.04
-45.5,90.78,12.19
-29.18,58.22,-78.86
14.11,-28.14,-98.36
44.71,-89.2,-26.66
33.88,-67.59,68.88
-7.97,15.9,104.78
-40.1,80.01,38.12
-38.63,77.08,-58.65
1.19,-2.38,-100.24
